Year,Month,Day,G12
2012,6,9,0,
2012,6,10,0,
2012,6,11,0,
2012,6,12,0,
2012,6,13,0,
2012,6,14,0,
2012,6,15,0,
2012,6,16,0.48,
2012,6,17,0.15,
2012,6,18,0,
2012,6,19,0,
2012,6,20,0,
2012,6,21,0,
2012,6,22,0,
2012,6,23,0,
2012,6,24,0,
2012,6,25,0,
2012,6,26,0,
2012,6,27,0,
2012,6,28,0.23,
2012,6,29,0.24,
2012,6,30,0.01,
2012,7,1,0.11,
2012,7,2,0,
2012,7,3,0,
2012,7,4,0,
2012,7,5,0.01,
2012,7,6,0,
2012,7,7,0,
2012,7,8,0,
2012,7,9,0,
2012,7,10,0,
2012,7,11,0,
2012,7,12,0,
2012,7,13,0.08,
2012,7,14,0,
2012,7,15,0,
2012,7,16,0,
2012,7,17,0,
2012,7,18,1.51,
2012,7,19,0.57,
2012,7,20,0,
2012,7,21,0,
2012,7,22,0,
2012,7,23,0,
2012,7,24,0.45,
2012,7,25,0,
2012,7,26,0.2,
2012,7,27,0,
2012,7,28,0,
2012,7,29,0,
2012,7,30,0,
2012,7,31,0.14,
2012,8,1,0,
2012,8,2,0,
2012,8,3,0,
2012,8,4,1.11,
2012,8,5,0,
2012,8,6,0,
2012,8,7,0,
2012,8,8,0.01,
2012,8,9,0.02,
2012,8,10,0.29,
2012,8,11,0,
2012,8,12,0,
2012,8,13,0.31,
2012,8,14,0.01,
2012,8,15,0,
2012,8,16,0.29,
2012,8,17,0,
2012,8,18,0,
2012,8,19,0,
2012,8,20,0.76,
2012,8,21,0,
2012,8,22,0,
2012,8,23,0,
2012,8,24,0,
2012,8,25,0,
2012,8,26,3.33,
2012,8,27,0,
2012,8,28,0,
2012,8,29,0,
2012,8,30,0,
2012,8,31,0,
2012,9,1,0.15,
2012,9,2,0,
2012,9,3,0,
2012,9,4,0.14,
2012,9,5,0.11,
2012,9,6,0,
2012,9,7,0.14,
2012,9,8,0.23,
2012,9,9,0,
2012,9,10,0,
2012,9,11,0,
2012,9,12,0,
2012,9,13,0.11,
2012,9,14,0,
2012,9,15,0,
2012,9,16,0,
2012,9,17,0.11,
2012,9,18,0,
2012,9,19,0,
2012,9,20,0,
2012,9,21,0.05,
2012,9,22,0.02,
2012,9,23,0,
2012,9,24,0,
2012,9,25,0,
2012,9,26,0,
2012,9,27,0,
2012,9,28,0,
2012,9,29,0,
2012,9,30,0,
2012,10,1,0,
2012,10,2,0,
2012,10,3,0.02,
2012,10,4,0.11,
2012,10,5,0,
2012,10,6,0,
2012,10,7,0,
2012,10,8,0,
2012,10,9,0.21,
2012,10,10,0,
2012,10,11,0,
2012,10,12,0,
2012,10,13,0.44,
2012,10,14,0.62,
2012,10,15,0,
2012,10,16,0,
2012,10,17,0.4,
2012,10,18,0.11,
2012,10,19,0.09,
2012,10,20,0,
2012,10,21,0,
2012,10,22,0.17,
2012,10,23,0.02,
2012,10,24,0,
2012,10,25,0.5,
2012,10,26,0,
2012,10,27,0,
2012,10,28,0,
2012,10,29,0,
2012,10,30,0,
2012,10,31,0,
2012,11,1,0,
2012,11,2,0,
2012,11,3,0,
2012,11,4,0,
2012,11,5,0,
2012,11,6,0.11,
2012,11,7,0.02,
2012,11,8,0,
2012,11,9,0,
2012,11,10,0.34,
2012,11,11,0.34,
2012,11,12,0.05,
2012,11,13,0,
2012,11,14,0,
2012,11,15,0,
2012,11,16,0,
2012,11,17,0,
2012,11,18,0,
2012,11,19,0.02,
2012,11,20,0,
2012,11,21,0,
2012,11,22,0.07,
2012,11,23,0.01,
2012,11,24,0,
2012,11,25,0,
2012,11,26,0,
2012,11,27,0,
2012,11,28,0,
2012,11,29,0,
2012,11,30,0,
2012,12,1,0,
2012,12,2,0,
2012,12,3,0,
2012,12,4,0,
2012,12,5,0,
2012,12,6,0,
2012,12,7,0.07,
2012,12,8,0.09,
2012,12,9,0.14,
2012,12,10,0.02,
2012,12,11,0,
2012,12,12,0,
2012,12,13,0,
2012,12,14,0,
2012,12,15,0.16,
2012,12,16,0.01,
2012,12,17,0,
2012,12,18,0,
2012,12,19,0.03,
2012,12,20,1.29,
2012,12,21,0.02,
2012,12,22,0,
2012,12,23,0,
2012,12,24,0,
2012,12,25,0,
2012,12,26,0,
2012,12,27,0,
2012,12,28,0.01,
2012,12,29,0.01,
2012,12,30,0,
2012,12,31,0,
2013,1,1,0,
2013,1,2,0,
2013,1,3,0,
2013,1,4,0,
2013,1,5,0.02,
2013,1,6,0,
2013,1,7,0,
2013,1,8,0,
2013,1,9,0,
2013,1,10,0.56,
2013,1,11,0.21,
2013,1,12,0.09,
2013,1,13,0.03,
2013,1,14,0.02,
2013,1,15,0,
2013,1,16,0,
2013,1,17,0,
2013,1,18,0,
2013,1,19,0,
2013,1,20,0,
2013,1,21,0,
2013,1,22,0,
2013,1,23,0,
2013,1,24,0,
2013,1,25,0.04,
2013,1,26,0.01,
2013,1,27,0.21,
2013,1,28,0.16,
2013,1,29,1.09,
2013,1,30,0.37,
2013,1,31,0.01,
2013,2,1,0.03,
2013,2,2,0.1,
2013,2,3,0,
2013,2,4,0.06,
2013,2,5,0.01,
2013,2,6,0.01,
2013,2,7,0.61,
2013,2,8,0.02,
2013,2,9,0,
2013,2,10,0.22,
2013,2,11,0.01,
2013,2,12,0,
2013,2,13,0,
2013,2,14,0,
2013,2,15,0,
2013,2,16,0,
2013,2,17,0,
2013,2,18,0.21,
2013,2,19,0.03,
2013,2,20,0,
2013,2,21,0.1,
2013,2,22,0.22,
2013,2,23,0,
2013,2,24,0,
2013,2,25,0,
2013,2,26,0.54,
2013,2,27,0.14,
2013,2,28,0.03,
2013,3,1,0.01,
2013,3,2,0,
2013,3,3,0,
2013,3,4,0,
2013,3,5,0.48,
2013,3,6,0.02,
2013,3,7,0,
2013,3,8,0,
2013,3,9,0.02,
2013,3,10,1.02,
2013,3,11,0.06,
2013,3,12,0.02,
2013,3,13,0,
2013,3,14,0,
2013,3,15,0.15,
2013,3,16,0,
2013,3,17,0,
2013,3,18,0.06,
2013,3,19,0,
2013,3,20,0,
2013,3,21,0,
2013,3,22,0,
2013,3,23,0,
2013,3,24,0,
2013,3,25,0,
2013,3,26,0,
2013,3,27,0,
2013,3,28,0,
2013,3,29,0.03,
2013,3,30,0,
2013,3,31,0.03,
2013,4,1,0,
2013,4,2,0,
2013,4,3,0,
2013,4,4,0,
2013,4,5,0,
2013,4,6,0.17,
2013,4,7,0,
2013,4,8,0.42,
2013,4,9,0.1,
2013,4,10,1.17,
2013,4,11,0.21,
2013,4,12,0,
2013,4,13,0,
2013,4,14,0,
2013,4,15,0.32,
2013,4,16,0.02,
2013,4,17,2.38,
2013,4,18,1.76,
2013,4,19,0.01,
2013,4,20,0,
2013,4,21,0,
2013,4,22,0,
2013,4,23,0.53,
2013,4,24,0.01,
2013,4,25,0,
2013,4,26,0,
2013,4,27,0,
2013,4,28,0.03,
2013,4,29,0,
2013,4,30,0,
2013,5,1,0,
2013,5,2,0,
2013,5,3,0.02,
2013,5,4,0,
2013,5,5,0,
2013,5,6,0,
2013,5,7,0,
2013,5,8,0,
2013,5,9,0.67,
2013,5,10,0.05,
2013,5,11,0,
2013,5,12,0,
2013,5,13,0,
2013,5,14,0,
2013,5,15,0,
2013,5,16,0,
2013,5,17,0,
2013,5,18,0,
2013,5,19,0,
2013,5,20,1.3,
2013,5,21,0.21,
2013,5,22,0.56,
2013,5,23,0.27,
2013,5,24,0,
2013,5,25,0,
2013,5,26,0,
2013,5,27,0.23,
2013,5,28,2.42,
2013,5,29,0.02,
2013,5,30,0.05,
2013,5,31,0.27,
2013,6,1,0.21,
2013,6,2,0,
2013,6,3,0,
2013,6,4,0,
2013,6,5,0,
2013,6,6,0.05,
2013,6,7,0,
2013,6,8,0,
2013,6,9,0,
2013,6,10,0.71,
2013,6,11,0.02,
2013,6,12,0.52,
2013,6,13,0,
2013,6,14,0,
2013,6,15,0.07,
2013,6,16,0,
2013,6,17,0.01,
2013,6,18,0.04,
2013,6,19,0,
2013,6,20,0,
2013,6,21,0.04,
2013,6,22,0,
2013,6,23,0,
2013,6,24,0.05,
2013,6,25,0.01,
2013,6,26,0.12,
2013,6,27,0,
2013,6,28,0.18,
2013,6,29,0.02,
2013,6,30,0,
2013,7,1,0,
2013,7,2,0,
2013,7,3,0.05,
2013,7,4,0,
2013,7,5,0,
2013,7,6,0,
2013,7,7,0,
2013,7,8,0.81,
2013,7,9,0,
2013,7,10,0,
2013,7,11,0,
2013,7,12,0,
2013,7,13,0,
2013,7,14,0,
2013,7,15,0.01,
2013,7,16,0,
2013,7,17,0,
2013,7,18,0,
2013,7,19,0,
2013,7,20,0.06,
2013,7,21,0.01,
2013,7,22,0,
2013,7,23,0,
2013,7,24,0,
2013,7,25,0,
2013,7,26,0.01,
2013,7,27,0,
2013,7,28,0.01,
2013,7,29,0,
2013,7,30,0.01,
2013,7,31,0.13,
2013,8,1,0.02,
2013,8,2,0.3,
2013,8,3,0,
2013,8,4,0,
2013,8,5,0,
2013,8,6,0,
2013,8,7,0,
2013,8,8,0,
2013,8,9,0.01,
2013,8,10,0,
2013,8,11,0,
2013,8,12,0.17,
2013,8,13,0,
2013,8,14,0,
2013,8,15,0,
2013,8,16,0,
2013,8,17,0,
2013,8,18,0,
2013,8,19,0,
2013,8,20,0,
2013,8,21,0.13,
2013,8,22,0.38,
2013,8,23,0.01,
2013,8,24,0,
2013,8,25,0,
2013,8,26,0,
2013,8,27,0,
2013,8,28,0,
2013,8,29,0,
2013,8,30,0.45,
2013,8,31,0.7,
2013,9,1,0,
2013,9,2,0,
2013,9,3,0,
2013,9,4,0,
2013,9,5,0,
2013,9,6,0,
2013,9,7,0,
2013,9,8,0,
2013,9,9,0,
2013,9,10,0,
2013,9,11,0,
2013,9,12,0.02,
2013,9,13,0,
2013,9,14,0,
2013,9,15,0.3,
2013,9,16,0,
2013,9,17,0,
2013,9,18,0.35,
2013,9,19,0.05,
2013,9,20,0.02,
2013,9,21,0,
2013,9,22,0,
2013,9,23,0,
2013,9,24,0,
2013,9,25,0,
2013,9,26,0,
2013,9,27,0,
2013,9,28,0,
2013,9,29,0.19,
2013,9,30,0,
2013,10,1,0,
2013,10,2,0,
2013,10,3,0.88,
2013,10,4,0,
2013,10,5,0.47,
2013,10,6,0.08,
2013,10,7,0,
2013,10,8,0,
2013,10,9,0,
2013,10,10,0,
2013,10,11,0,
2013,10,12,0,
2013,10,13,0,
2013,10,14,0,
2013,10,15,0.07,
2013,10,16,0,
2013,10,17,0.18,
2013,10,18,0,
2013,10,19,0,
2013,10,20,0,
2013,10,21,0.03,
2013,10,22,0.04,
2013,10,23,0.01,
2013,10,24,0,
2013,10,25,0,
2013,10,26,0,
2013,10,27,0,
2013,10,28,0,
2013,10,29,0,
2013,10,30,1.41,
2013,10,31,1.85,
2013,11,1,0.03,
2013,11,2,0.01,
2013,11,3,0,
2013,11,4,0,
2013,11,5,0,
2013,11,6,0.93,
2013,11,7,0,
2013,11,8,0,
2013,11,9,0,
2013,11,10,0,
2013,11,11,0.06,
2013,11,12,0,
2013,11,13,0,
2013,11,14,0,
2013,11,15,0,
2013,11,16,0.31,
2013,11,17,0.71,
2013,11,18,0,
2013,11,19,0,
2013,11,20,0.17,
2013,11,21,0.03,
2013,11,22,0.02,
2013,11,23,0,
2013,11,24,0,
2013,11,25,0,
2013,11,26,0,
2013,11,27,0,
2013,11,28,0,
2013,11,29,0,
2013,11,30,0,
2013,12,1,0,
2013,12,2,0.08,
2013,12,3,0.04,
2013,12,4,0.03,
2013,12,5,0,
2013,12,6,0,
2013,12,7,0,
2013,12,8,0.13,
2013,12,9,0,
2013,12,10,0,
2013,12,11,0.04,
2013,12,12,0,
2013,12,13,0.01,
2013,12,14,0.23,
2013,12,15,0,
2013,12,16,0,
2013,12,17,0,
2013,12,18,0,
2013,12,19,0.04,
2013,12,20,0.19,
2013,12,21,0.32,
2013,12,22,0.06,
2013,12,23,0,
2013,12,24,0,
2013,12,25,0.08,
2013,12,26,0,
2013,12,27,0,
2013,12,28,0,
2013,12,29,0,
2013,12,30,0,
2013,12,31,0.14,
2014,1,1,0.18,
2014,1,2,0.14,
2014,1,3,0,
2014,1,4,0.25,
2014,1,5,0.57,
2014,1,6,0.02,
2014,1,7,0,
2014,1,8,0,
2014,1,9,0.01,
2014,1,10,0.92,
2014,1,11,0.11,
2014,1,12,0,
2014,1,13,0,
2014,1,14,0.02,
2014,1,15,0,
2014,1,16,0.02,
2014,1,17,0,
2014,1,18,0.12,
2014,1,19,0.02,
2014,1,20,0.06,
2014,1,21,0.07,
2014,1,22,0.02,
2014,1,23,0.01,
2014,1,24,0.12,
2014,1,25,0.05,
2014,1,26,0.2,
2014,1,27,0,
2014,1,28,0,
2014,1,29,0,
2014,1,30,0.05,
2014,1,31,0.03,
2014,2,1,0.33,
2014,2,2,0,
2014,2,3,0,
2014,2,4,0.05,
2014,2,5,0.28,
2014,2,6,0,
2014,2,7,0,
2014,2,8,0.06,
2014,2,9,0,
2014,2,10,0,
2014,2,11,0,
2014,2,12,0,
2014,2,13,0,
2014,2,14,0,
2014,2,15,0,
2014,2,16,0,
2014,2,17,0.53,
2014,2,18,0,
2014,2,19,0,
2014,2,20,0.8,
2014,2,21,0,
2014,2,22,0,
2014,2,23,0,
2014,2,24,0,
2014,2,25,0,
2014,2,26,0,
2014,2,27,0,
2014,2,28,0,
2014,3,1,0,
2014,3,2,0.07,
2014,3,3,0,
2014,3,4,0,
2014,3,5,0.2,
2014,3,6,0,
2014,3,7,0,
2014,3,8,0.02,
2014,3,9,0,
2014,3,10,0,
2014,3,11,0.23,
2014,3,12,0.37,
2014,3,13,0,
2014,3,14,0,
2014,3,15,0,
2014,3,16,0,
2014,3,17,0,
2014,3,18,0,
2014,3,19,0.41,
2014,3,20,0.04,
2014,3,21,0.01,
2014,3,22,0,
2014,3,23,0,
2014,3,24,0,
2014,3,25,0,
2014,3,26,0,
2014,3,27,0.13,
2014,3,28,0.03,
2014,3,29,0,
2014,3,30,0,
2014,3,31,0.05,
2014,4,1,0,
2014,4,2,0,
2014,4,3,1.29,
2014,4,4,0.02,
2014,4,5,0,
2014,4,6,0,
2014,4,7,0,
2014,4,8,0,
2014,4,9,0,
2014,4,10,0,
2014,4,11,0,
2014,4,12,0,
2014,4,13,0.4,
2014,4,14,0.17,
2014,4,15,0.01,
2014,4,16,0,
2014,4,17,0,
2014,4,18,0,
2014,4,19,0,
2014,4,20,0,
2014,4,21,0.41,
2014,4,22,0,
2014,4,23,0,
2014,4,24,0,
2014,4,25,0.12,
2014,4,26,0,
2014,4,27,0,
2014,4,28,0.35,
2014,4,29,0.06,
2014,4,30,0.07,
2014,5,1,0.05,
2014,5,2,0.03,
2014,5,3,0,
2014,5,4,0,
2014,5,5,0,
2014,5,6,0,
2014,5,7,0,
2014,5,8,0,
2014,5,9,1.64,
2014,5,10,0,
2014,5,11,0.56,
2014,5,12,0.04,
2014,5,13,0.18,
2014,5,14,0,
2014,5,15,0.28,
2014,5,16,0.04,
2014,5,17,0,
2014,5,18,0,
2014,5,19,0,
2014,5,20,1.12,
2014,5,21,0.01,
2014,5,22,0,
2014,5,23,0,
2014,5,24,0,
2014,5,25,0,
2014,5,26,0,
2014,5,27,0.11,
2014,5,28,0.52,
2014,5,29,0,
2014,5,30,0,
2014,5,31,0,
2014,6,1,0,
2014,6,2,0.29,
2014,6,3,0,
2014,6,4,0.12,
2014,6,5,0,
2014,6,6,0,
2014,6,7,0.13,
2014,6,8,0.21,
2014,6,9,0,
2014,6,10,1.1,
2014,6,11,0.1,
2014,6,12,0,
2014,6,13,0,
2014,6,14,0,
2014,6,15,0,
2014,6,16,0,
2014,6,17,0,
2014,6,18,0.95,
2014,6,19,0.32,
2014,6,20,0.05,
2014,6,21,0.87,
2014,6,22,0.02,
2014,6,23,0.18,
2014,6,24,1.58,
2014,6,25,0.04,
2014,6,26,0,
2014,6,27,0,
2014,6,28,0.33,
2014,6,29,0.03,
2014,6,30,2.23,
2014,7,1,0.04,
2014,7,2,0.04,
2014,7,3,0.02,
2014,7,4,0,
2014,7,5,0,
2014,7,6,0,
2014,7,7,0.37,
2014,7,8,0.71,
2014,7,9,0,
2014,7,10,0,
2014,7,11,0,
2014,7,12,3.46,
2014,7,13,0.06,
2014,7,14,0.02,
2014,7,15,0,
2014,7,16,0,
2014,7,17,0,
2014,7,18,0,
2014,7,19,0,
2014,7,20,0,
2014,7,21,0,
2014,7,22,0.27,
2014,7,23,0,
