Id,Id2,Target Geo Id,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US17031,17031,0700000US170316349876935,University Park village (part),273,120,0.11,0,0.11,2556.5,1123.7
0500000US17031,17031,0700000US170316349899999,Remainder of Rich township,2537,1264,9.73,0.08,9.64,263.1,131.1
0500000US17031,17031,0600000US1703164317,River Forest township,11172,4176,2.48,0,2.48,4513.5,1687.1
0500000US17031,17031,0700000US170316431764304,River Forest village,11172,4176,2.48,0,2.48,4513.5,1687.1
0500000US17031,17031,0600000US1703164434,Riverside township,15594,6619,4.04,0.02,4.02,3879.5,1646.7
0500000US17031,17031,0700000US170316443408576,Brookfield village (part),1566,639,0.76,0.01,0.75,2076.9,847.5
0500000US17031,17031,0700000US170316443445434,Lyons village (part),185,89,0.03,0,0.03,5541.6,2666
0500000US17031,17031,0700000US170316443454144,North Riverside village (part),4973,2216,1.25,0,1.25,3969,1768.6
0500000US17031,17031,0700000US170316443464421,Riverside village (part),8760,3633,1.91,0.01,1.9,4620.1,1916.1
0500000US17031,17031,0700000US170316443499999,Remainder of Riverside township,110,42,0.08,0,0.08,1322.4,504.9
0500000US17031,17031,0600000US1703168016,Schaumburg township,131288,53010,30.96,0.22,30.74,4271.5,1724.7
0500000US17031,17031,0700000US170316801623256,Elk Grove Village village (part),11023,4000,2.28,0.01,2.27,4864.9,1765.4
0500000US17031,17031,0700000US170316801632746,Hanover Park village (part),9892,3075,1.41,0,1.41,7031.4,2185.8
0500000US17031,17031,0700000US170316801635411,Hoffman Estates village (part),33915,12822,6.46,0.07,6.39,5311.6,2008.1
0500000US17031,17031,0700000US170316801665338,Rolling Meadows city (part),1582,504,0.09,0,0.09,17932.7,5713.1
0500000US17031,17031,0700000US170316801665806,Roselle village (part),3723,1502,0.74,0,0.74,5010.7,2021.5
0500000US17031,17031,0700000US170316801668003,Schaumburg village (part),67778,29883,17.88,0.11,17.77,3813.4,1681.3
0500000US17031,17031,0700000US170316801673157,Streamwood village (part),1469,555,0.16,0,0.16,9251.3,3495.2
0500000US17031,17031,0700000US170316801699999,Remainder of Schaumburg township,1906,669,1.95,0.03,1.91,995.8,349.5
0500000US17031,17031,0600000US1703172689,Stickney township,40772,14366,12.67,0.18,12.49,3264.3,1150.2
0500000US17031,17031,0700000US170317268904572,Bedford Park village (part),8,7,3.9,0,3.9,2.1,1.8
0500000US17031,17031,0700000US170317268908225,Bridgeview village (part),324,122,0.18,0,0.18,1831.7,689.7
0500000US17031,17031,0700000US170317268909642,Burbank city,28925,9721,4.17,0,4.17,6932.4,2329.8
0500000US17031,17031,0700000US170317268926987,Forest View village,698,287,1.2,0.13,1.07,654.3,269
0500000US17031,17031,0700000US170317268972676,Stickney village,6786,3000,1.96,0.04,1.93,3525,1558.4
0500000US17031,17031,0700000US170317268999999,Remainder of Stickney township,4031,1229,1.27,0.02,1.25,3225.8,983.5
0500000US17031,17031,0600000US1703175198,Thornton township,169326,67480,47.42,0.49,46.93,3608.4,1438
0500000US17031,17031,0700000US170317519806704,Blue Island city (part),1242,462,0.32,0,0.32,3835.8,1426.9
0500000US17031,17031,0700000US170317519809798,Burnham village,4206,1544,1.95,0.09,1.87,2253.2,827.1
0500000US17031,17031,0700000US170317519810487,Calumet City city,37042,15646,7.31,0.12,7.19,5155.2,2177.5
0500000US17031,17031,0700000US170317519820149,Dixmoor village,3644,1302,1.25,0,1.25,2918.7,1042.9
0500000US17031,17031,0700000US170317519820292,Dolton village,23153,8720,4.69,0.12,4.56,5072,1910.2
0500000US17031,17031,0700000US170317519821904,East Hazel Crest village,1543,633,0.78,0,0.78,1967.4,807.1
0500000US17031,17031,0700000US170317519830029,Glenwood village (part),866,462,0.11,0,0.11,7722.5,4119.8
0500000US17031,17031,0700000US170317519833383,Harvey city (part),23251,9196,5.86,0,5.86,3969.4,1569.9
0500000US17031,17031,0700000US170317519833695,Hazel Crest village (part),2902,1116,0.53,0,0.53,5431.7,2088.8
0500000US17031,17031,0700000US170317519835879,Homewood village (part),5944,2765,2.4,0.04,2.36,2517.1,1170.9
0500000US17031,17031,0700000US170317519842028,Lansing village (part),22925,9607,5.4,0.03,5.37,4269.1,1789
0500000US17031,17031,0700000US170317519847007,Markham city (part),3852,1372,0.96,0,0.96,4003.9,1426.1
0500000US17031,17031,0700000US170317519859572,Phoenix village,1964,816,0.45,0,0.45,4363.9,1813.1
0500000US17031,17031,0700000US170317519861314,Posen village (part),451,135,0.08,0,0.08,5315.9,1591.2
0500000US17031,17031,0700000US170317519864278,Riverdale village (part),11208,4561,2.17,0,2.17,5163.8,2101.4
0500000US17031,17031,0700000US170317519870850,South Holland village,22030,7797,7.28,0.02,7.27,3031.8,1073
0500000US17031,17031,0700000US170317519875185,Thornton village,2338,1027,2.37,0.03,2.35,995.4,437.3
0500000US17031,17031,0700000US170317519899999,Remainder of Thornton township,765,319,3.49,0.05,3.43,222.7,92.9
0500000US17031,17031,0600000US1703181100,Wheeling township,153630,63735,35.99,0.12,35.87,4282.7,1776.7
0500000US17031,17031,0700000US170318110002154,Arlington Heights village (part),61033,25953,13.03,0.03,13.01,4692.1,1995.2
0500000US17031,17031,0700000US170318110009447,Buffalo Grove village (part),13644,6139,2.13,0,2.13,6403,2881
0500000US17031,17031,0700000US170318110019642,Des Plaines city (part),1274,399,0.54,0,0.54,2347.7,735.3
0500000US17031,17031,0700000US170318110029938,Glenview village (part),0,0,0.08,0,0.08,0,0
0500000US17031,17031,0700000US170318110051089,Mount Prospect village (part),22098,8657,5.2,0,5.2,4251.4,1665.5
0500000US17031,17031,0700000US170318110053481,Northbrook village (part),478,276,0.13,0,0.13,3662.9,2115
0500000US17031,17031,0700000US170318110057225,Palatine village (part),43,15,0.01,0,0.01,3227.2,1125.8
0500000US17031,17031,0700000US170318110062016,Prospect Heights city (part),16208,6446,4.06,0.03,4.03,4025.1,1600.8
0500000US17031,17031,0700000US170318110065338,Rolling Meadows city (part),127,48,0.04,0,0.04,3609.7,1364.3
0500000US17031,17031,0700000US170318110081087,Wheeling village (part),37642,15395,8.72,0.06,8.66,4347.1,1777.9
0500000US17031,17031,0700000US170318110099999,Remainder of Wheeling township,1083,407,2.05,0.01,2.04,530,199.2
0500000US17031,17031,0600000US1703183531,Worth township,152633,62042,32.15,0.36,31.79,4800.7,1951.4
0500000US17031,17031,0700000US170318353101010,Alsip village,19277,7927,6.49,0.1,6.39,3016.9,1240.6
0500000US17031,17031,0700000US170318353106704,Blue Island city (part),10495,3809,1.62,0.03,1.59,6598.9,2395
0500000US17031,17031,0700000US170318353108225,Bridgeview village (part),1899,673,0.3,0,0.3,6435.9,2280.8
0500000US17031,17031,0700000US170318353114065,Chicago Ridge village,14305,5919,2.25,0,2.25,6345.8,2625.7
0500000US17031,17031,0700000US170318353117497,Crestwood village (part),4473,2113,1.22,0.03,1.2,3738.3,1765.9
0500000US17031,17031,0700000US170318353124634,Evergreen Park village,19852,7559,3.16,0,3.16,6279.8,2391.2
0500000US17031,17031,0700000US170318353135866,Hometown city,4349,1935,0.48,0,0.48,9081.3,4040.5
0500000US17031,17031,0700000US170318353148554,Merrionette Park village,1900,951,0.38,0,0.38,5065.2,2535.3
