Zip Code,Location,Population,People / Sq. Mile
60466,"41.457905, -87.692847","30,302","2,195.32"
60015,"42.170385, -87.871782","27,224","2,176.97"
60018,"42.005342, -87.901058","29,950","2,159.06"
61115,"42.361406, -89.034104","20,431","2,147.80"
60478,"41.557770, -87.727885","16,168","2,136.37"
60967,"40.614415, -87.592357",86,"2,119.06"
60037,"42.211310, -87.805417",901,"2,103.40"
60044,"42.285138, -87.860924","15,516","2,095.51"
60521,"41.757112, -87.931953","37,496","2,081.20"
60120,"42.028433, -88.235666","48,581","2,066.10"
61614,"40.755134, -89.598186","34,386","2,059.14"
60022,"42.133782, -87.764704","8,490","2,050.93"
62927,"37.939570, -89.240961",312,"2,050.52"
61107,"42.285290, -89.001692","30,040","2,047.05"
62226,"38.530765, -90.006051","27,065","2,039.78"
60109,"42.051869, -88.549790",158,"2,012.52"
60177,"41.988195, -88.308090","16,941","2,004.10"
60425,"41.543874, -87.613911","9,011","1,999.75"
61077,"42.237411, -89.358030",42,"1,976.04"
62205,"38.608534, -90.123577","10,343","1,958.79"
62204,"38.632079, -90.091268","10,725","1,957.46"
60190,"41.867918, -88.162954","12,065","1,946.84"
60042,"42.278206, -88.196627","8,877","1,926.73"
60506,"41.771450, -88.374367","51,184","1,925.69"
60564,"41.707430, -88.194820","32,206","1,915.06"
60031,"42.376836, -87.941865","37,461","1,898.09"
60014,"42.230093, -88.326152","44,468","1,894.97"
61114,"42.306605, -88.990894","15,557","1,884.82"
61604,"40.707262, -89.658577","33,587","1,884.57"
60563,"41.800827, -88.170504","31,405","1,882.23"
62703,"39.758573, -89.632289","31,211","1,866.40"
60411,"41.507883, -87.591507","60,461","1,848.75"
60504,"41.767095, -88.252064","44,412","1,814.54"
62089,"39.131588, -89.491408",281,"1,813.09"
60173,"42.051556, -88.055522","12,046","1,798.34"
60102,"42.173656, -88.324742","47,985","1,798.09"
61111,"42.331896, -89.011924","20,555","1,782.70"
62087,"38.824782, -90.060193","1,889","1,753.28"
62060,"38.676709, -90.147954","5,816","1,752.22"
60174,"41.928464, -88.293481","31,513","1,742.03"
62279,"38.153279, -90.134127",26,"1,737.17"
60542,"41.807559, -88.333149","11,007","1,699.96"
61332,"41.189533, -88.982636",36,"1,677.33"
60134,"41.878343, -88.342066","21,497","1,670.18"
60519,"41.778113, -88.242002",74,"1,667.92"
62207,"38.583745, -90.126397","9,841","1,647.16"
61761,"40.529306, -88.997226","45,337","1,646.78"
60087,"42.405338, -87.849201","23,530","1,628.00"
60467,"41.600117, -87.892455","20,904","1,618.83"
60461,"41.518063, -87.692813","4,637","1,574.26"
62077,"39.031100, -89.522915",116,"1,572.31"
60013,"42.221455, -88.240800","24,226","1,544.13"
60433,"41.503034, -88.043656","17,658","1,524.03"
61103,"42.345403, -89.083189","24,368","1,514.82"
62206,"38.570196, -90.156123","18,315","1,510.16"
60490,"41.683799, -88.143752","9,263","1,507.62"
62519,"39.937119, -89.402244",85,"1,475.65"
60060,"42.270156, -88.039275","37,027","1,437.00"
60537,"41.560521, -88.598274",376,"1,435.83"
61239,"41.500115, -90.390388",301,"1,433.55"
60157,"41.974486, -88.054956","2,111","1,417.25"
61832,"40.136854, -87.634482","39,127","1,399.37"
62997,"37.981228, -89.592017",663,"1,373.38"
62203,"38.600158, -90.077777","10,275","1,368.38"
60099,"42.462525, -87.877706","29,882","1,343.41"
60446,"41.647793, -88.110167","20,141","1,335.61"
